跟踪单号,运输状态,备注,运输商
01425061655669,成功签收,,DPD
01425061655673,成功签收,,DPD
01425061655691,成功签收,,DPD
01425061655693,投递失败,,DPD
01425061655694,成功签收,,DPD
01425061655695,投递失败,,DPD
01425061655696,运输途中,,DPD
01425061655697,成功签收,,DPD
01425061655712,成功签收,,DPD
01425061655713,成功签收,,DPD
01425061655714,成功签收,,DPD
01425061655730,成功签收,,DPD
01425061655731,成功签收,,DPD
01425061655732,成功签收,,DPD
01425061655612,运输途中,,DPD
01425061655610,到达待取,超过3天 最后更新时间 2021-08-20 10:50,DPD
01425061655608,成功签收,,DPD
01425061655607,成功签收,,DPD
01425061655626,成功签收,,DPD
01425061655627,成功签收,,DPD
01425061655629,成功签收,,DPD
01425061655636,运输途中,,DPD
01425061655635,成功签收,,DPD
01425061655632,到达待取,,DPD
01425061655677,成功签收,,DPD
01425061655681,成功签收,,DPD
01425061655686,成功签收,,DPD
01425061655811,成功签收,,DPD
01425061655838,成功签收,,DPD
01425061655834,成功签收,,DPD
01425061655830,成功签收,,DPD
01425061655826,成功签收,,DPD
01425061655790,成功签收,,DPD
01425061655787,成功签收,,DPD
01425061655782,成功签收,,DPD
01425061655752,成功签收,,DPD
01425061655751,成功签收,,DPD
01425061655750,成功签收,,DPD
01425061655749,成功签收,,DPD
01425061655748,成功签收,,DPD
01425061655842,成功签收,,DPD
01425061655843,成功签收,,DPD
01425061655844,成功签收,,DPD
01425061655806,成功签收,,DPD
01425061655801,成功签收,,DPD
01425061655798,成功签收,,DPD
01425061655794,成功签收,,DPD
01425061655815,成功签收,,DPD
01425061655818,成功签收,,DPD
01425061655822,成功签收,,DPD
01425061655849,成功签收,,DPD
01425061655848,成功签收,,DPD
01425061655847,成功签收,,DPD
01425061655846,成功签收,,DPD
01425061655845,成功签收,,DPD
01425061655747,成功签收,,DPD
01425061655746,成功签收,,DPD
01425061655745,成功签收,,DPD
01425061655759,成功签收,,DPD
01425061655758,成功签收,,DPD
01425061655757,成功签收,,DPD
01425061655756,成功签收,,DPD
01425061656358,成功签收,,DPD
01425061655664,成功签收,,DPD
01425061655648,成功签收,,DPD
01425061655647,成功签收,,DPD
01425061655646,成功签收,,DPD
01425061655645,成功签收,,DPD
01425061655644,成功签收,,DPD
01425061655643,成功签收,,DPD
01425061655760,成功签收,,DPD
01425061655761,成功签收,,DPD
01425061655762,成功签收,,DPD
01425061655744,成功签收,,DPD
01425061655743,到达待取,,DPD
01425061655742,成功签收,,DPD
01425061655741,成功签收,,DPD
01425061655753,成功签收,,DPD
01425061655754,成功签收,,DPD
01425061655755,成功签收,,DPD
01425061655777,运输途中,,DPD
01425061655773,到达待取,,DPD
01425061655768,成功签收,,DPD
01425061655764,成功签收,,DPD
01425061655763,成功签收,,DPD
01425061655642,运输途中,,DPD
01425061655665,成功签收,,DPD
01425061655685,成功签收,,DPD
01425061655702,成功签收,,DPD
01425061655703,成功签收,,DPD
01425061655704,成功签收,,DPD
01425061655705,成功签收,,DPD
01425061655706,成功签收,,DPD
01425061655707,到达待取,超过5天 最后更新时间 2021-08-18 09:22,DPD
01425061655708,到达待取,超过4天 最后更新时间 2021-08-19 09:18,DPD
01425061655709,成功签收,,DPD
01425061655710,成功签收,,DPD
01425061655711,到达待取,,DPD
01425061655701,成功签收,,DPD
01425061655700,成功签收,,DPD
01425061655733,成功签收,,DPD
01425061656007,成功签收,,DPD
01425061656027,成功签收,,DPD
01425061656049,成功签收,,DPD
01425061656050,成功签收,,DPD
01425061656052,成功签收,,DPD
01425061656105,成功签收,,DPD
01425061656089,成功签收,,DPD
01425061656090,成功签收,,DPD
01425061656093,投递失败,,DPD
01425061656094,成功签收,,DPD
01425061656095,成功签收,,DPD
01425061656096,成功签收,,DPD
01425061656097,成功签收,,DPD
01425061656098,成功签收,,DPD
01425061656028,成功签收,,DPD
01425061656029,成功签收,,DPD
01425061656031,成功签收,,DPD
01425061656048,成功签收,,DPD
01425061656046,到达待取,,DPD
01425061656045,运输途中,超过4天 最后更新时间 2021-08-18 22:21,DPD
01425061656044,成功签收,,DPD
01425061656041,成功签收,,DPD
01425061656040,成功签收,,DPD
01425061656037,成功签收,,DPD
01425061656036,投递失败,,DPD
01425061656032,成功签收,,DPD
01425061656099,成功签收,,DPD
01425061656100,成功签收,,DPD
01425061655689,成功签收,,DPD
01425061655688,成功签收,,DPD
01425061655668,投递失败,,DPD
01425061655670,成功签收,,DPD
01425061655671,成功签收,,DPD
01425061655672,成功签收,,DPD
01425061655674,成功签收,,DPD
01425061655675,成功签收,,DPD
01425061655676,成功签收,,DPD
01425061655678,成功签收,,DPD
01425061655679,到达待取,超过3天 最后更新时间 2021-08-20 11:25,DPD
01425061655680,成功签收,,DPD
01425061655682,成功签收,,DPD
01425061655683,成功签收,,DPD
01425061656086,成功签收,,DPD
01425061656085,成功签收,,DPD
01425061656084,成功签收,,DPD
01425061656101,成功签收,,DPD
01425061655667,成功签收,,DPD
01425061655690,成功签收,,DPD
01425061655692,成功签收,,DPD
01425061656102,成功签收,,DPD
01425061656103,成功签收,,DPD
01425061656104,成功签收,,DPD
01425061656025,成功签收,,DPD
01425061656106,到达待取,,DPD
01425061656079,成功签收,,DPD
01425061656080,成功签收,,DPD
01425061656081,成功签收,,DPD
01425061656082,成功签收,,DPD
01425061656083,成功签收,,DPD
01425061655684,投递失败,,DPD
01425061656005,成功签收,,DPD
01425061655734,成功签收,,DPD
01425061655722,成功签收,,DPD
01425061655723,成功签收,,DPD
01425061655724,成功签收,,DPD
01425061655725,成功签收,,DPD
01425061655726,成功签收,,DPD
01425061655606,运输途中,,DPD
01425061655630,运输途中,,DPD
01425061655631,运输途中,,DPD
01425061655633,成功签收,,DPD
01425061655609,成功签收,,DPD
01425061655634,成功签收,,DPD
01425061655611,成功签收,,DPD
01425061655615,成功签收,,DPD
01425061655619,到达待取,,DPD
01425061655721,成功签收,,DPD
01425061655720,投递失败,,DPD
01425061655719,投递失败,,DPD
01425061655735,成功签收,,DPD
01425061655736,成功签收,,DPD
01425061655737,成功签收,,DPD
01425061655738,成功签收,,DPD
01425061655739,成功签收,,DPD
01425061655740,成功签收,,DPD
01425061655729,成功签收,,DPD
01425061655728,成功签收,,DPD
01425061655727,成功签收,,DPD
01425061655715,成功签收,,DPD
01425061655716,成功签收,,DPD
01425061655717,成功签收,,DPD
01425061655718,成功签收,,DPD
01425061655624,成功签收,,DPD
01425061655628,成功签收,,DPD
01425061655772,成功签收,,DPD
01425061655982,成功签收,,DPD
01425061656017,成功签收,,DPD
01425061656018,成功签收,,DPD
01425061656021,成功签收,,DPD
01425061656022,成功签收,,DPD
01425061656024,成功签收,,DPD
01425061656087,成功签收,,DPD
01425061656013,成功签收,,DPD
01425061656011,成功签收,,DPD
01425061655997,成功签收,,DPD
01425061655999,成功签收,,DPD
01425061656000,成功签收,,DPD
01425061656002,成功签收,,DPD
01425061655981,成功签收,,DPD
01425061655980,成功签收,,DPD
01425061655978,成功签收,,DPD
01425061655774,成功签收,,DPD
01425061655775,成功签收,,DPD
01425061655776,成功签收,,DPD
01425061655778,成功签收,,DPD
01425061655779,投递失败,,DPD
01425061655780,成功签收,,DPD
01425061655781,成功签收,,DPD
01425061655783,成功签收,,DPD
01425061655970,到达待取,,DPD
01425061655971,成功签收,,DPD
01425061655973,到达待取,,DPD
01425061655974,成功签收,,DPD
01425061655975,成功签收,,DPD
01425061655977,成功签收,,DPD
01425061656003,到达待取,,DPD
01425061655879,成功签收,,DPD
01425061655853,成功签收,,DPD
01425061655852,成功签收,,DPD
01425061655851,到达待取,超过3天 最后更新时间 2021-08-20 13:35,DPD
01425061655873,成功签收,,DPD
01425061655874,成功签收,,DPD
01425061655882,成功签收,,DPD
01425061655881,成功签收,,DPD
01425061655880,成功签收,,DPD
01425061655875,成功签收,,DPD
01425061655948,成功签收,,DPD
01425061655886,成功签收,,DPD
01425061655885,成功签收,,DPD
01425061655884,成功签收,,DPD
01425061655871,成功签收,,DPD
01425061655870,成功签收,,DPD
01425061655869,成功签收,,DPD
01425061655868,成功签收,,DPD
01425061655866,成功签收,,DPD
01425061655887,成功签收,,DPD
01425061655888,成功签收,,DPD
01425061655890,成功签收,,DPD
01425061655968,成功签收,,DPD
01425061655972,成功签收,,DPD
01425061655976,成功签收,,DPD
01425061655979,成功签收,,DPD
01425061655983,成功签收,,DPD
01425061655987,成功签收,,DPD
01425061655893,成功签收,,DPD
01425061655891,成功签收,,DPD
01425061655865,成功签收,,DPD
01425061655864,成功签收,,DPD
01425061655862,成功签收,,DPD
01425061655861,成功签收,,DPD
01425061655860,成功签收,,DPD
01425061655858,成功签收,,DPD
01425061655857,成功签收,,DPD
01425061655856,成功签收,,DPD
01425061655817,成功签收,,DPD
01425061655945,成功签收,,DPD
01425061655944,成功签收,,DPD
01425061655943,成功签收,,DPD
01425061655942,成功签收,,DPD
01425061655841,成功签收,,DPD
01425061655840,成功签收,,DPD
01425061655839,成功签收,,DPD
01425061655816,成功签收,,DPD
01425061655941,成功签收,,DPD
01425061657549,成功签收,,DPD
01425061655947,成功签收,,DPD
01425061655990,成功签收,,DPD
01425061655835,成功签收,,DPD
01425061655836,成功签收,,DPD
01425061655814,成功签收,,DPD
01425061655813,成功签收,,DPD
01425061655791,成功签收,,DPD
01425061655837,成功签收,,DPD
01425061655995,成功签收,,DPD
01425061655993,成功签收,,DPD
01425061655992,成功签收,,DPD
01425061655940,成功签收,,DPD
01425061655939,成功签收,,DPD
01425061655921,成功签收,,DPD
01425061655920,成功签收,,DPD
01425061655918,成功签收,,DPD
01425061655917,成功签收,,DPD
01425061655916,成功签收,,DPD
01425061655914,到达待取,,DPD
01425061655912,成功签收,,DPD
01425061655910,成功签收,,DPD
01425061655909,成功签收,,DPD
01425061655922,到达待取,,DPD
01425061655923,成功签收,,DPD
01425061655925,成功签收,,DPD
01425061655938,成功签收,,DPD
01425061655937,成功签收,,DPD
01425061655936,成功签收,,DPD
01425061655935,到达待取,超过5天 最后更新时间 2021-08-18 13:01,DPD
01425061655934,成功签收,,DPD
01425061655933,成功签收,,DPD
01425061655932,成功签收,,DPD
01425061655928,成功签收,,DPD
01425061655946,成功签收,,DPD
01425061655905,成功签收,,DPD
01425061655819,到达待取,超过3天 最后更新时间 2021-08-20 07:04,DPD
01425061655771,成功签收,,DPD
01425061655996,成功签收,,DPD
01425061656088,到达待取,,DPD
01425061655833,成功签收,,DPD
01425061655832,成功签收,,DPD
01425061655831,成功签收,,DPD
01425061655808,成功签收,,DPD
01425061655807,成功签收,,DPD
01425061655789,到达待取,超过4天 最后更新时间 2021-08-19 09:18,DPD
01425061655788,成功签收,,DPD
01425061656014,成功签收,,DPD
01425061656015,成功签收,,DPD
01425061655986,成功签收,,DPD
01425061655770,成功签收,,DPD
01425061655769,成功签收,,DPD
01425061655767,成功签收,,DPD
01425061655766,成功签收,,DPD
01425061655784,成功签收,,DPD
01425061655785,成功签收,,DPD
01425061655786,成功签收,,DPD
01425061655984,到达待取,超过5天 最后更新时间 2021-08-18 13:01,DPD
01425061655985,成功签收,,DPD
01425061655765,成功签收,,DPD
01425061655805,到达待取,超过5天 最后更新时间 2021-08-18 09:22,DPD
01425061655810,成功签收,,DPD
01425061655812,成功签收,,DPD
01425061655829,成功签收,,DPD
01425061655828,成功签收,,DPD
01425061655827,成功签收,,DPD
01425061655825,成功签收,,DPD
01425061655824,成功签收,,DPD
01425061655823,成功签收,,DPD
01425061655821,成功签收,,DPD
01425061655809,成功签收,,DPD
01425061655792,成功签收,,DPD
01425061655793,投递失败,,DPD
01425061655804,成功签收,,DPD
01425061655803,成功签收,,DPD
01425061655802,成功签收,,DPD
01425061656379,成功签收,,DPD
01425061655800,成功签收,,DPD
01425061655799,成功签收,,DPD
01425061655797,成功签收,,DPD
01425061655796,成功签收,,DPD
01425061655795,成功签收,,DPD
01425061655820,成功签收,,DPD
01425061655904,成功签收,,DPD
01425061655867,成功签收,,DPD
01425061655863,成功签收,,DPD
01425061655892,成功签收,,DPD
01425061655896,成功签收,,DPD
01425061655899,成功签收,,DPD
01425061655902,成功签收,,DPD
01425061655906,成功签收,,DPD
01425061655850,成功签收,,DPD
01425061655907,到达待取,超过5天 最后更新时间 2021-08-18 08:49,DPD
01425061655913,成功签收,,DPD
01425061655915,到达待取,超过3天 最后更新时间 2021-08-20 13:35,DPD
01425061655919,成功签收,,DPD
01425061655924,成功签收,,DPD
01425061655900,成功签收,,DPD
01425061655898,成功签收,,DPD
01425061655877,成功签收,,DPD
01425061655859,投递失败,,DPD
01425061655872,成功签收,,DPD
01425061655889,成功签收,,DPD
01425061656016,成功签收,,DPD
01425061655960,到达待取,,DPD
01425061655961,成功签收,,DPD
01425061655962,成功签收,,DPD
01425061655963,成功签收,,DPD
01425061656034,成功签收,,DPD
01425061656035,成功签收,,DPD
01425061656039,成功签收,,DPD
01425061656063,成功签收,,DPD
01425061656064,成功签收,,DPD
01425061656065,成功签收,,DPD
01425061656066,成功签收,,DPD
01425061656067,运输途中,超过7天 最后更新时间 2021-08-16 12:36,DPD
01425061656068,成功签收,,DPD
01425061656069,成功签收,,DPD
01425061656070,到达待取,超过5天 最后更新时间 2021-08-18 11:34,DPD
01425061655959,成功签收,,DPD
01425061655958,成功签收,,DPD
01425061655957,成功签收,,DPD
01425061656020,成功签收,,DPD
01425061656023,成功签收,,DPD
01425061656026,成功签收,,DPD
01425061656030,成功签收,,DPD
01425061655967,成功签收,,DPD
01425061655966,成功签收,,DPD
01425061655965,成功签收,,DPD
01425061655926,成功签收,,DPD
01425061655949,成功签收,,DPD
01425061655950,成功签收,,DPD
01425061655951,成功签收,,DPD
01425061655952,成功签收,,DPD
01425061655953,成功签收,,DPD
01425061655954,成功签收,,DPD
01425061655955,成功签收,,DPD
01425061655956,成功签收,,DPD
01425061656071,成功签收,,DPD
01425061656072,成功签收,,DPD
01425061655930,到达待取,超过5天 最后更新时间 2021-08-18 11:39,DPD
01425061655931,成功签收,,DPD
01425061655927,成功签收,,DPD
01425061655929,成功签收,,DPD
01425061655897,到达待取,超过5天 最后更新时间 2021-08-18 11:11,DPD
01425061655894,成功签收,,DPD
01425061656059,成功签收,,DPD
01425061655969,成功签收,,DPD
01425061655988,成功签收,,DPD
01425061655989,成功签收,,DPD
01425061655878,成功签收,,DPD
01425061655883,运输途中,,DPD
01425061655876,投递失败,,DPD
01425061655855,成功签收,,DPD
01425061655901,成功签收,,DPD
01425061655903,成功签收,,DPD
01425061656058,成功签收,,DPD
01425061656057,成功签收,,DPD
01425061656477,到达待取,超过3天 最后更新时间 2021-08-20 10:57,DPD
01425061656481,投递失败,,DPD
01425061656073,到达待取,,DPD
01425061656074,成功签收,,DPD
01425061656075,成功签收,,DPD
01425061656076,成功签收,,DPD
01425061656077,成功签收,,DPD
01425061656078,成功签收,,DPD
01425061656062,运输途中,,DPD
01425061656060,成功签收,,DPD
01425061656043,到达待取,,DPD
01425061656047,成功签收,,DPD
01425061656051,成功签收,,DPD
01425061656183,成功签收,,DPD
01425061656184,成功签收,,DPD
01425061656185,成功签收,,DPD
01425061656176,成功签收,,DPD
01425061656177,成功签收,,DPD
01425061656178,成功签收,,DPD
01425061656179,成功签收,,DPD
01425061656180,成功签收,,DPD
01425061656181,成功签收,,DPD
01425061656378,成功签收,,DPD
01425061656186,成功签收,,DPD
01425061656187,成功签收,,DPD
01425061656188,成功签收,,DPD
01425061656182,成功签收,,DPD
01425061656189,投递失败,,DPD
01425061656168,成功签收,,DPD
01425061656169,到达待取,,DPD
01425061656170,成功签收,,DPD
01425061656171,到达待取,,DPD
01425061656172,投递失败,,DPD
01425061656173,成功签收,,DPD
01425061656174,成功签收,,DPD
01425061656175,成功签收,,DPD
01425061656192,成功签收,,DPD
01425061656193,成功签收,,DPD
01425061656194,成功签收,,DPD
01425061656195,成功签收,,DPD
01425061656196,成功签收,,DPD
01425061656191,成功签收,,DPD
01425061656190,成功签收,,DPD
01425061656197,成功签收,,DPD
01425061656263,成功签收,,DPD
01425061656266,成功签收,,DPD
01425061656267,成功签收,,DPD
01425061656268,成功签收,,DPD
01425061656269,成功签收,,DPD
01425061656270,成功签收,,DPD
01425061656246,成功签收,,DPD
01425061656247,成功签收,,DPD
01425061656248,成功签收,,DPD
01425061656249,成功签收,,DPD
01425061656250,成功签收,,DPD
01425061656251,成功签收,,DPD
01425061656252,成功签收,,DPD
01425061656253,投递失败,,DPD
01425061656254,成功签收,,DPD
01425061656255,成功签收,,DPD
01425061656245,成功签收,,DPD
01425061656244,成功签收,,DPD
01425061656271,成功签收,,DPD
01425061656272,成功签收,,DPD
01425061656273,成功签收,,DPD
01425061656274,成功签收,,DPD
01425061656257,成功签收,,DPD
01425061656256,成功签收,,DPD
01425061656239,成功签收,,DPD
01425061656240,成功签收,,DPD
01425061656241,成功签收,,DPD
01425061656275,成功签收,,DPD
01425061656262,成功签收,,DPD
01425061656210,运输途中,超过4天 最后更新时间 2021-08-19 10:24,DPD
01425061656234,成功签收,,DPD
01425061656237,到达待取,,DPD
01425061656238,成功签收,,DPD
01425061656233,成功签收,,DPD
01425061656232,成功签收,,DPD
01425061656231,成功签收,,DPD
01425061656212,成功签收,,DPD
01425061656213,成功签收,,DPD
01425061656214,成功签收,,DPD
01425061656216,成功签收,,DPD
01425061656230,成功签收,,DPD
01425061656226,成功签收,,DPD
01425061656235,成功签收,,DPD
01425061656236,成功签收,,DPD
01425061656277,成功签收,,DPD
01425061656278,成功签收,,DPD
01425061656276,成功签收,,DPD
01425061656198,成功签收,,DPD
01425061656211,成功签收,,DPD
01425061656215,成功签收,,DPD
01425061656219,成功签收,,DPD
01425061656221,成功签收,,DPD
01425061656217,成功签收,,DPD
01425061656218,成功签收,,DPD
01425061656222,到达待取,超过3天 最后更新时间 2021-08-20 08:17,DPD
01425061656223,成功签收,,DPD
01425061656224,到达待取,超过4天 最后更新时间 2021-08-19 11:21,DPD
01425061656225,成功签收,,DPD
01425061656227,成功签收,,DPD
01425061656228,成功签收,,DPD
01425061656229,成功签收,,DPD
01425061656258,成功签收,,DPD
01425061656259,成功签收,,DPD
01425061656260,成功签收,,DPD
01425061656220,运输途中,超过5天 最后更新时间 2021-08-18 07:38,DPD
01425061656209,成功签收,,DPD
01425061656199,成功签收,,DPD
01425061656200,成功签收,,DPD
01425061656201,成功签收,,DPD
01425061656202,成功签收,,DPD
01425061656483,投递失败,,DPD
01425061656203,成功签收,,DPD
01425061656204,成功签收,,DPD
01425061656205,成功签收,,DPD
01425061656206,成功签收,,DPD
01425061656207,到达待取,,DPD
01425061656482,成功签收,,DPD
01425061656208,投递失败,,DPD
01425061656261,成功签收,,DPD
01425061657224,成功签收,,DPD
01425061657228,成功签收,,DPD
01425061657229,运输途中,,DPD
01425061657230,到达待取,,DPD
01425061657231,成功签收,,DPD
01425061657232,到达待取,,DPD
01425061657233,运输途中,,DPD
01425061657225,到达待取,,DPD
01425061657226,成功签收,,DPD
01425061657227,成功签收,,DPD
01425061658508,运输途中,超过5天 最后更新时间 2021-08-18 12:35,DPD
01425061658505,到达待取,,DPD
01425061658506,运输途中,超过5天 最后更新时间 2021-08-18 12:35,DPD
01425061658507,运输途中,超过5天 最后更新时间 2021-08-18 12:35,DPD
01425061658502,到达待取,,DPD
01425061658503,运输途中,,DPD
01425061658504,运输途中,超过5天 最后更新时间 2021-08-18 12:35,DPD
01425061658501,运输途中,,DPD
01425061123403,成功签收,,DPD
01425061123404,成功签收,,DPD
01425061123405,到达待取,,DPD
01425061123406,到达待取,,DPD
01425061123407,成功签收,,DPD
01425061123408,成功签收,,DPD
01425061123409,运输途中,,DPD
01425061123410,成功签收,,DPD
01425061123411,成功签收,,DPD
01425061123412,到达待取,,DPD
01425061123413,到达待取,,DPD
01425061123414,成功签收,,DPD
01425061123415,成功签收,,DPD
01425061123416,到达待取,,DPD
01425061123417,成功签收,,DPD
01425061123418,到达待取,,DPD
01425061123419,成功签收,,DPD
01425061123420,运输途中,,DPD
01425061123421,到达待取,,DPD
01425061123422,到达待取,,DPD
01425061123423,投递失败,,DPD
01425061123424,运输途中,,DPD
01425061123425,运输途中,,DPD
01425061123426,到达待取,,DPD
01425061123427,运输途中,,DPD
01425061123428,成功签收,,DPD
01425061123429,成功签收,,DPD
01425061123430,运输途中,,DPD
01425061123431,成功签收,,DPD
01425061123432,成功签收,,DPD
01425061123433,到达待取,,DPD
01425061123434,运输途中,,DPD
01425061123435,成功签收,,DPD
01425061123436,成功签收,,DPD
01425061123437,到达待取,,DPD
01425061123438,成功签收,,DPD
01425061123439,到达待取,,DPD
01425061123440,成功签收,,DPD
01425061123441,运输途中,,DPD
01425061123442,到达待取,,DPD
01425061123443,到达待取,,DPD
01425061123444,投递失败,,DPD
01425061123445,运输途中,,DPD
01425061123446,运输途中,,DPD
01425061123447,到达待取,,DPD
01425061123448,运输途中,,DPD
01425061123449,到达待取,,DPD
01425061123450,投递失败,,DPD
01425061123451,到达待取,,DPD
01425061123452,成功签收,,DPD
01425061123453,到达待取,,DPD
01425061123454,投递失败,,DPD
01425061123455,运输途中,,DPD
01425061123456,成功签收,,DPD
01425061123457,成功签收,,DPD
01425061123458,成功签收,,DPD
01425061123459,到达待取,,DPD
01425061123460,到达待取,,DPD
00340434493851503637,成功签收,,DHL
00340434493851503644,成功签收,,DHL
00340434493851503651,运输途中,,DHL
00340434493851503668,成功签收,,DHL
00340434493851503675,成功签收,,DHL
00340434493851503682,成功签收,,DHL
00340434493851503699,成功签收,,DHL
00340434493851503705,运输途中,,DHL
00340434493851503774,运输途中,,DHL
00340434493851503767,成功签收,,DHL
01466810384494,运输途中,超过4天 最后更新时间 2021-08-19 12:34,DPD
01466810555158,,,DPD
01466810555159,,,DPD
01425061660328,,,DPD
01425061660327,,,DPD
01425061660330,,,DPD
01425061660329,,,DPD
01425061660366,,,DPD
01425061660365,,,DPD
01425061660368,,,DPD
01425061660367,,,DPD
01425061661858,,,DPD
01425061661949,,,DPD
01425061661950,,,DPD
01425061661939,,,DPD
01425061662165,,,DPD
01425061661945,,,DPD
01425061661946,,,DPD
01425061661947,,,DPD
01425061661948,,,DPD
01425061661940,,,DPD
01425061661941,,,DPD
01425061661942,,,DPD
01425061661943,,,DPD
01425061661944,,,DPD
01425061663648,,,DPD
01425061663655,,,DPD
